country,full_name,Symbol,Activity,Sector,first_obs,last_real,n_months,avg_mv,cluster,keep
ES,Parques Reunidos,E:PAR,Dead,Travel and Leisure,2016-05-01,2019-12-01,43.0,1100.6327272727274,0,True
ES,Parques Reunidos,E:PQR,Dead,Travel and Leisure,1999-06-01,2004-01-01,55.0,114.59625000000001,1,True
FR,Assystem,F:ASS,Dead,Industrial Engineering,1996-01-01,2004-05-01,100.0,223.90247524752476,0,True
FR,Assystem,F:BRIM,Active,Construction and Materials,1999-11-01,2025-12-01,313.0,384.0833439490446,1,True
FR,BAC Majestic,F:BACH,Dead,Media,2000-07-01,2010-12-01,125.0,24.63174603174603,0,True
FR,BAC Majestic,F:BST,Dead,Media,2011-02-01,2015-11-01,57.0,1.1220689655172413,1,True
FR,Bollore New,F:BOL1,Dead,Media,2019-11-01,2020-07-01,8.0,11.961111111111112,0,True
FR,Bollore New,F:BOLN,Dead,Media,2018-11-01,2019-06-01,7.0,9.08125,1,True
FR,Bollore,F:MATI,Active,Media,1996-01-01,2025-12-01,359.0,6586.717916666667,1,True
FR,Bollore,F:BOL2,Dead,Media,2024-04-01,2024-07-01,3.0,15.215,1,False
FR,Bollore,F:BOLL,Dead,Media,2022-04-01,2022-06-01,2.0,13.193333333333333,1,False
FR,Bollore,F:BT,Dead,Industrial Transportation,1996-01-01,2006-10-01,129.0,1595.7150769230768,2,True
FR,Bouygues New,F:BOU1,Dead,Construction and Materials,2020-03-01,2020-05-01,2.0,2.13,0,True
FR,Bouygues New,F:BOU3,Dead,Construction and Materials,2022-04-01,2022-05-01,1.0,0.27,1,True
FR,Bull,F:BULL,Dead,Software and Computer Services,1996-01-01,2015-01-01,228.0,605.8475982532751,0,True
FR,Bull,916210,Dead,Software and Computer Services,1996-01-01,1996-02-01,1.0,609.3499999999999,0,False
FR,Coface,276743,Dead,Non-life Insurance,2000-02-01,2004-06-01,52.0,917.7828301886792,0,True
FR,Coface,F:COFA,Active,Non-life Insurance,2014-07-01,2025-12-01,137.0,1581.1418115942029,1,True
FR,Crcam Atlantique Vendee,F:LAV,Active,Banks,2002-08-01,2025-12-01,280.0,122.94170818505339,0,True
FR,Enensys,F:ALNN6,Active,Software and Computer Services,2018-06-01,2025-12-01,90.0,10.473956043956044,0,True
FR,Enensys,F:MLE,Dead,Telecommunications Equipment,2006-03-01,2009-08-01,41.0,11.004523809523809,1,True
FR,Euronext,F:ENX,Active,Investment Banking and Brokerage Services,2014-07-01,2025-12-01,137.0,6193.227391304348,0,True
